# HD      V      B-V    Exp.
3651     5.88    0.85   2340
4628     5.74    0.88   2362
10476    5.24    0.84   1239
16160    5.4779  0.98   2940
26965    4.43    0.82    536
32147    6.21    1.06   8343
81809    5.40    0.64    571
103095   6.45    0.75   2496
128620   0.01    0.71      5
128621   1.33    0.90     44
140538   5.86    0.68   1050
146233   5.50    0.65    656
156026   6.34    1.16  14905
160346   6.2004  0.96   5217
166620   6.40    0.87   4143
185144   4.68    0.78    561
186408   5.95    0.64    949
186427   6.20    0.66   1310
201091   5.21    1.18   5772
201092   6.03    1.37  29466
219834A  5.18    0.80    975
219834B  7.3427  0.91  11868
