# HD     V      B-V    Exp.
9562    5.76    0.64    796
10700   3.50    0.72    143
13421   5.623   0.56    485
23249   3.54    0.92    374
29645   5.8159  0.57    607
45067   5.90    0.56    627
89744   5.5865  0.54    428
107213  6.2402  0.50    650
124570  5.3717  0.54    351
142373  4.62    0.56    192
143761  5.2094  0.60    399
158614  5.31    0.72    760
159332  5.648   0.48    343
178428  5.8940  0.70   1188
182572  4.9432  0.77    683
187013  4.8407  0.47    156
190360  5.5336  0.73    978
207978  5.53    0.42    234
212754  5.81    0.52    480
216385  4.9795  0.48    185
